POSTCODE,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2406,3RQLD,Rest of Qld,0.1771434,Good,Good,0
2408,1RNSW,Rest of NSW,1,Good,Good,0
2409,1RNSW,Rest of NSW,1,Good,Good,0
2410,1RNSW,Rest of NSW,1,Good,Good,0
2411,1RNSW,Rest of NSW,1,Good,Good,0
2415,1RNSW,Rest of NSW,1,Good,Good,0
2420,1RNSW,Rest of NSW,1,Good,Good,0
2421,1RNSW,Rest of NSW,1,Good,Good,0
2422,1RNSW,Rest of NSW,1,Good,Good,0
2423,1RNSW,Rest of NSW,1,Good,Good,0
2424,1RNSW,Rest of NSW,1,Good,Good,0
2425,1RNSW,Rest of NSW,1,Good,Good,0
2426,1RNSW,Rest of NSW,1,Good,Good,0
2427,1RNSW,Rest of NSW,1,Good,Good,0
2428,1RNSW,Rest of NSW,1,Good,Good,0
2429,1RNSW,Rest of NSW,1,Good,Good,0
2430,1RNSW,Rest of NSW,1,Good,Good,0
2431,1RNSW,Rest of NSW,1,Good,Good,0
2439,1RNSW,Rest of NSW,1,Good,Good,0
2440,1RNSW,Rest of NSW,1,Good,Good,0
2441,1RNSW,Rest of NSW,1,Good,Good,0
2443,1RNSW,Rest of NSW,1,Good,Good,0
2444,1RNSW,Rest of NSW,1,Good,Good,0
2445,1RNSW,Rest of NSW,1,Good,Good,0
2446,1RNSW,Rest of NSW,1,Good,Good,0
2447,1RNSW,Rest of NSW,1,Good,Good,0
2448,1RNSW,Rest of NSW,1,Good,Good,0
2449,1RNSW,Rest of NSW,1,Good,Good,0
2450,1RNSW,Rest of NSW,1,Good,Good,0
2452,1RNSW,Rest of NSW,1,Good,Good,0
2453,1RNSW,Rest of NSW,1,Good,Good,0
2454,1RNSW,Rest of NSW,1,Good,Good,0
2455,1RNSW,Rest of NSW,1,Good,Good,0
2456,1RNSW,Rest of NSW,1,Good,Good,0
2460,1RNSW,Rest of NSW,1,Good,Good,0
2462,1RNSW,Rest of NSW,1,Good,Good,0
